Transaction ID,CustomerID,ProductID,ProductName,Quantity,PriceperUnit,Date,TotalPrice,Region
1,373,109,Cereal,7,5,8/8/2022,35,Colombo
2,519,100,Apple,6,1,12/31/2022,6,Colombo
3,885,100,Apple,8,1,1/9/2023,8,Colombo
4,716,104,Beef,10,10,10/21/2022,100,Colombo
5,557,102,Cheese,8,2.5,5/16/2022,20,Colombo
6,357,108,Yogurt,7,4,1/17/2023,28,Colombo
7,498,103,Bread,5,3,9/10/2022,15,Colombo
8,531,103,Bread,7,3,2/12/2023,21,Colombo
9,274,109,Cereal,3,5,3/21/2023,15,Colombo
10,897,105,Chicken,8,8,7/20/2022,64,Colombo
11,986,102,Cheese,5,2.5,8/10/2022,12.5,Colombo
12,984,101,Banana,10,1.5,11/17/2022,15,Colombo
13,608,101,Banana,6,1.5,2/8/2023,9,Colombo
14,508,109,Cereal,3,5,10/13/2022,15,Colombo
15,864,103,Bread,4,3,11/8/2022,12,Colombo
16,921,101,Banana,7,1.5,6/26/2022,10.5,Colombo
17,561,106,Fish,8,12,8/19/2022,96,Colombo
18,913,102,Cheese,8,2.5,6/30/2022,20,Colombo
19,278,104,Beef,4,10,9/20/2022,40,Colombo
20,846,107,Milk,2,2,2/21/2023,4,Colombo
21,439,100,Apple,2,1,10/26/2022,2,Colombo
22,106,106,Fish,5,12,6/27/2022,60,Colombo
23,774,100,Apple,1,1,9/24/2022,1,Colombo
24,558,108,Yogurt,8,4,2/20/2023,32,Colombo
25,685,108,Yogurt,1,4,1/10/2023,4,Colombo
26,517,105,Chicken,2,8,7/11/2022,16,Colombo
27,923,106,Fish,10,12,1/19/2023,120,Colombo
28,665,109,Cereal,5,5,11/13/2022,25,Colombo
29,649,104,Beef,1,10,5/9/2022,10,Colombo
30,735,108,Yogurt,5,4,11/6/2022,20,Colombo
31,653,102,Cheese,1,2.5,8/20/2022,2.5,Colombo
32,294,107,Milk,5,2,2/7/2023,10,Colombo
33,606,106,Fish,6,12,3/15/2023,72,Colombo
34,492,109,Cereal,3,5,7/21/2022,15,Colombo
35,727,108,Yogurt,10,4,1/28/2023,40,Colombo
36,778,103,Bread,1,3,1/29/2023,3,Colombo
37,283,108,Yogurt,9,4,2/16/2023,36,Colombo
38,704,108,Yogurt,1,4,1/5/2023,4,Colombo
39,593,107,Milk,3,2,7/14/2022,6,Colombo
40,193,101,Banana,4,1.5,6/19/2022,6,Colombo
41,449,101,Banana,4,1.5,11/27/2022,6,Colombo
42,423,100,Apple,6,1,5/31/2022,6,Colombo
43,621,108,Yogurt,9,4,4/30/2022,36,Colombo
44,662,109,Cereal,6,5,8/17/2022,30,Colombo
45,545,104,Beef,2,10,9/20/2022,20,Colombo
46,962,106,Fish,8,12,3/10/2023,96,Colombo
47,676,108,Yogurt,6,4,12/26/2022,24,Colombo
48,244,101,Banana,3,1.5,2/6/2023,4.5,Colombo
49,111,108,Yogurt,6,4,10/22/2022,24,Colombo
50,793,104,Beef,6,10,1/22/2023,60,Colombo
51,162,105,Chicken,10,8,2/15/2023,80,Colombo
52,730,108,Yogurt,10,4,3/26/2023,40,Colombo
53,983,100,Apple,6,1,3/2/2023,6,Colombo
54,443,101,Banana,7,1.5,7/9/2022,10.5,Colombo
55,980,104,Beef,3,10,4/15/2023,30,Colombo
56,225,109,Cereal,7,5,3/9/2023,35,Colombo
57,781,102,Cheese,6,2.5,11/11/2022,15,Colombo
58,618,102,Cheese,10,2.5,10/6/2022,25,Colombo
59,570,103,Bread,4,3,3/13/2023,12,Colombo
60,254,101,Banana,10,1.5,7/3/2022,15,Colombo
61,130,104,Beef,4,10,3/6/2023,40,Colombo
62,990,102,Cheese,2,2.5,12/17/2022,5,Colombo
63,609,105,Chicken,10,8,4/3/2023,80,Colombo
64,797,108,Yogurt,1,4,3/6/2023,4,Colombo
65,824,100,Apple,6,1,6/24/2022,6,Colombo
66,789,105,Chicken,6,8,8/30/2022,48,Colombo
67,692,106,Fish,9,12,6/22/2022,108,Colombo
68,182,106,Fish,2,12,9/8/2022,24,Colombo
69,260,105,Chicken,3,8,11/24/2022,24,Colombo
70,767,103,Bread,2,3,11/11/2022,6,Colombo
71,350,103,Bread,9,3,1/25/2023,27,Colombo
72,293,108,Yogurt,7,4,2/3/2023,28,Colombo
73,461,105,Chicken,6,8,3/5/2023,48,Colombo
74,370,103,Bread,3,3,9/29/2022,9,Colombo
75,590,106,Fish,8,12,6/13/2022,96,Colombo
76,338,103,Bread,7,3,6/22/2022,21,Colombo
77,187,102,Cheese,9,2.5,5/14/2022,22.5,Colombo
78,963,107,Milk,10,2,7/16/2022,20,Colombo
79,173,105,Chicken,7,8,4/9/2023,56,Colombo
80,344,108,Yogurt,9,4,9/25/2022,36,Colombo
81,801,109,Cereal,9,5,10/20/2022,45,Colombo
82,882,105,Chicken,1,8,12/7/2022,8,Colombo
83,289,104,Beef,8,10,2/2/2023,80,Colombo
84,665,109,Cereal,2,5,10/24/2022,10,Colombo
85,645,102,Cheese,4,2.5,2/12/2023,10,Colombo
86,199,103,Bread,8,3,3/20/2023,24,Colombo
87,341,108,Yogurt,5,4,9/22/2022,20,Colombo
88,870,108,Yogurt,6,4,4/20/2023,24,Colombo
89,511,107,Milk,2,2,10/26/2022,4,Colombo
90,172,107,Milk,7,2,9/23/2022,14,Colombo
91,510,103,Bread,4,3,7/11/2022,12,Colombo
92,370,104,Beef,7,10,12/20/2022,70,Colombo
93,947,109,Cereal,1,5,5/13/2022,5,Colombo
94,345,101,Banana,6,1.5,2/14/2023,9,Colombo
95,449,102,Cheese,5,2.5,1/19/2023,12.5,Colombo
96,297,108,Yogurt,9,4,6/14/2022,36,Colombo
97,216,106,Fish,9,12,8/29/2022,108,Colombo
98,436,108,Yogurt,8,4,3/7/2023,32,Colombo
99,718,105,Chicken,1,8,4/12/2023,8,Colombo
100,684,105,Chicken,9,8,11/7/2022,72,Colombo
101,107,106,Fish,10,12,4/11/2023,120,Colombo
102,895,108,Yogurt,5,4,11/13/2022,20,Colombo
103,939,107,Milk,1,2,7/12/2022,2,Colombo
104,197,102,Cheese,8,2.5,7/17/2022,20,Colombo
105,320,102,Cheese,7,2.5,8/2/2022,17.5,Colombo
106,764,109,Cereal,3,5,12/31/2022,15,Colombo
107,323,104,Beef,1,10,1/23/2023,10,Colombo
108,645,100,Apple,4,1,10/22/2022,4,Colombo
109,445,104,Beef,6,10,7/5/2022,60,Colombo
110,206,102,Cheese,10,2.5,2/14/2023,25,Colombo
111,513,108,Yogurt,10,4,5/5/2022,40,Kalutara
112,661,109,Cereal,7,5,9/3/2022,35,Kalutara
113,510,105,Chicken,3,8,11/17/2022,24,Kalutara
114,177,103,Bread,8,3,7/1/2022,24,Kalutara
115,712,105,Chicken,8,8,11/21/2022,64,Kalutara
116,215,102,Cheese,5,2.5,8/22/2022,12.5,Kalutara
117,708,106,Fish,10,12,5/28/2022,120,Kalutara
118,477,103,Bread,2,3,2/18/2023,6,Kalutara
119,100,101,Banana,7,1.5,3/4/2023,10.5,Kalutara
120,814,108,Yogurt,1,4,5/9/2022,4,Kalutara
121,265,104,Beef,4,10,12/31/2022,40,Kalutara
122,685,100,Apple,5,1,3/3/2023,5,Kalutara
123,703,100,Apple,1,1,3/26/2023,1,Kalutara
124,633,101,Banana,1,1.5,9/14/2022,1.5,Kalutara
125,888,102,Cheese,4,2.5,11/25/2022,10,Kalutara
126,202,103,Bread,7,3,5/26/2022,21,Kalutara
127,518,107,Milk,9,2,12/16/2022,18,Kalutara
128,410,106,Fish,1,12,8/1/2022,12,Kalutara
129,722,107,Milk,4,2,1/24/2023,8,Kalutara
130,912,100,Apple,2,1,8/14/2022,2,Kalutara
131,280,107,Milk,8,2,1/14/2023,16,Kalutara
132,312,105,Chicken,9,8,6/3/2022,72,Kalutara
133,579,106,Fish,7,12,7/18/2022,84,Kalutara
134,819,108,Yogurt,10,4,9/15/2022,40,Kalutara
135,704,100,Apple,6,1,2/4/2023,6,Kalutara
136,213,108,Yogurt,7,4,12/6/2022,28,Kalutara
137,796,107,Milk,3,2,8/20/2022,6,Kalutara
138,620,107,Milk,7,2,3/12/2023,14,Kalutara
139,274,105,Chicken,5,8,2/11/2023,40,Kalutara
140,654,100,Apple,6,1,5/21/2022,6,Kalutara
141,688,100,Apple,8,1,11/1/2022,8,Kalutara
142,823,107,Milk,2,2,5/13/2022,4,Kalutara
143,680,109,Cereal,10,5,7/27/2022,50,Kalutara
144,155,106,Fish,5,12,9/28/2022,60,Kalutara
145,575,109,Cereal,2,5,7/22/2022,10,Kalutara
146,704,102,Cheese,2,2.5,3/9/2023,5,Kalutara
147,647,108,Yogurt,5,4,12/15/2022,20,Kalutara
148,236,109,Cereal,3,5,7/22/2022,15,Kalutara
149,378,105,Chicken,3,8,8/16/2022,24,Kalutara
150,850,107,Milk,8,2,11/16/2022,16,Kalutara
151,269,100,Apple,6,1,8/16/2022,6,Kalutara
152,896,107,Milk,3,2,11/13/2022,6,Kalutara
153,946,101,Banana,9,1.5,3/2/2023,13.5,Kalutara
154,310,109,Cereal,4,5,8/11/2022,20,Kalutara
155,522,105,Chicken,5,8,1/3/2023,40,Kalutara
156,606,102,Cheese,6,2.5,9/28/2022,15,Kalutara
157,912,104,Beef,9,10,9/14/2022,90,Kalutara
158,406,105,Chicken,10,8,10/20/2022,80,Kalutara
159,878,104,Beef,10,10,6/11/2022,100,Kalutara
160,126,108,Yogurt,8,4,8/12/2022,32,Kalutara
161,461,104,Beef,7,10,3/31/2023,70,Kalutara
162,977,108,Yogurt,2,4,7/29/2022,8,Kalutara
163,893,107,Milk,4,2,3/30/2023,8,Kalutara
164,455,108,Yogurt,5,4,5/17/2022,20,Kalutara
165,886,101,Banana,1,1.5,10/23/2022,1.5,Kalutara
166,491,105,Chicken,7,8,5/9/2022,56,Kalutara
167,280,101,Banana,5,1.5,9/22/2022,7.5,Kalutara
168,657,108,Yogurt,8,4,6/27/2022,32,Kalutara
169,933,103,Bread,10,3,8/19/2022,30,Kalutara
170,800,104,Beef,6,10,10/29/2022,60,Kalutara
171,902,101,Banana,4,1.5,8/8/2022,6,Kalutara
172,935,103,Bread,8,3,8/22/2022,24,Kalutara
173,995,101,Banana,8,1.5,9/8/2022,12,Kalutara
174,538,106,Fish,7,12,7/17/2022,84,Kalutara
175,163,102,Cheese,9,2.5,7/20/2022,22.5,Kalutara
176,653,102,Cheese,7,2.5,10/30/2022,17.5,Kalutara
177,190,109,Cereal,9,5,1/8/2023,45,Kalutara
178,934,100,Apple,5,1,9/10/2022,5,Kalutara
179,728,108,Yogurt,10,4,5/29/2022,40,Kalutara
180,917,105,Chicken,3,8,9/16/2022,24,Kalutara
181,616,107,Milk,5,2,8/30/2022,10,Kalutara
182,678,108,Yogurt,9,4,2/16/2023,36,Kalutara
183,102,107,Milk,3,2,6/14/2022,6,Kalutara
184,806,108,Yogurt,10,4,6/25/2022,40,Kalutara
185,384,101,Banana,1,1.5,12/6/2022,1.5,Kalutara
186,781,104,Beef,1,10,11/11/2022,10,Kalutara
187,303,101,Banana,9,1.5,4/24/2022,13.5,Kalutara
188,396,103,Bread,4,3,10/17/2022,12,Kalutara
189,770,101,Banana,9,1.5,10/10/2022,13.5,Kalutara
190,299,106,Fish,2,12,4/16/2023,24,Kalutara
191,434,109,Cereal,2,5,8/30/2022,10,Kalutara
192,371,102,Cheese,7,2.5,12/28/2022,17.5,Kalutara
193,905,102,Cheese,2,2.5,8/13/2022,5,Kalutara
194,659,103,Bread,10,3,12/25/2022,30,Kalutara
195,224,109,Cereal,4,5,3/8/2023,20,Kalutara
196,415,109,Cereal,4,5,8/12/2022,20,Kalutara
197,900,100,Apple,4,1,11/30/2022,4,Kalutara
198,857,109,Cereal,5,5,5/22/2022,25,Kalutara
199,140,101,Banana,1,1.5,9/27/2022,1.5,Kalutara
200,644,102,Cheese,4,2.5,4/24/2023,10,Kalutara
201,907,105,Chicken,3,8,4/5/2023,24,Kalutara
202,823,104,Beef,7,10,10/25/2022,70,Kalutara
203,446,105,Chicken,10,8,12/2/2022,80,Kalutara
204,770,107,Milk,6,2,2/10/2023,12,Kalutara
205,940,100,Apple,8,1,7/23/2022,8,Kalutara
206,448,105,Chicken,6,8,10/21/2022,48,Kalutara
207,340,103,Bread,2,3,4/12/2023,6,Kalutara
208,507,104,Beef,3,10,4/10/2023,30,Kalutara
209,357,100,Apple,6,1,3/4/2023,6,Kalutara
210,820,108,Yogurt,2,4,5/13/2022,8,Kalutara
211,930,108,Yogurt,10,4,12/31/2022,40,Kalutara
212,236,106,Fish,7,12,4/13/2023,84,Kalutara
213,189,105,Chicken,9,8,11/1/2022,72,Kalutara
214,809,103,Bread,5,3,12/15/2022,15,Kalutara
215,113,109,Cereal,7,5,5/7/2022,35,Kalutara
216,783,107,Milk,2,2,12/1/2022,4,Kalutara
217,169,108,Yogurt,7,4,3/20/2023,28,Kalutara
218,474,100,Apple,1,1,12/12/2022,1,Kalutara
219,586,105,Chicken,1,8,1/7/2023,8,Kalutara
220,126,107,Milk,3,2,6/11/2022,6,Kalutara
221,967,102,Cheese,3,2.5,1/28/2023,7.5,Kalutara
222,917,102,Cheese,9,2.5,10/19/2022,22.5,Kalutara
223,524,106,Fish,6,12,8/2/2022,72,Kalutara
224,664,102,Cheese,9,2.5,8/29/2022,22.5,Kalutara
225,316,104,Beef,9,10,12/24/2022,90,Kalutara
226,369,108,Yogurt,5,4,11/8/2022,20,Kalutara
227,749,109,Cereal,3,5,8/3/2022,15,Kalutara
228,389,101,Banana,3,1.5,5/19/2022,4.5,Kalutara
229,608,104,Beef,2,10,10/19/2022,20,Kalutara
230,776,104,Beef,9,10,9/3/2022,90,Kalutara
231,388,103,Bread,10,3,8/7/2022,30,Kalutara
232,571,108,Yogurt,7,4,11/10/2022,28,Kalutara
233,769,106,Fish,10,12,3/24/2023,120,Kalutara
234,376,106,Fish,5,12,1/29/2023,60,Kalutara
235,902,103,Bread,10,3,10/5/2022,30,Kalutara
236,402,108,Yogurt,7,4,7/10/2022,28,Kalutara
237,915,107,Milk,7,2,6/15/2022,14,Kalutara
238,435,105,Chicken,5,8,12/20/2022,40,Kalutara
239,532,101,Banana,1,1.5,1/22/2023,1.5,Kalutara
240,350,109,Cereal,3,5,12/21/2022,15,Kalutara
241,432,106,Fish,10,12,12/15/2022,120,Kalutara
242,783,100,Apple,3,1,10/22/2022,3,Kalutara
243,927,107,Milk,6,2,3/24/2023,12,Kalutara
244,989,102,Cheese,9,2.5,3/2/2023,22.5,Kalutara
245,902,109,Cereal,3,5,4/5/2023,15,Kalutara
